name,author,genre,year
Lookism,Park Tae-Joon,School / Action,2014
Viral Hit (How to Fight),Park Tae-Joon,Street Fighting,2019
Weak Hero,Seopass,School / Action,2018
The Boxer,Jung Ji-Hun,Boxing / Sports,2019
God of High School,Yongje Park,Martial Arts,2011
Study Group,Hyungwook Shin,School / Action,2019
Hanlim Gym,Hyeseong,School / Action,2020
Manager Kim,Park Tae-Joon,Martial Arts,2021
To Not Die,Parae,Street Fighting,2021
Quest Supremacy,Park Tae-Joon,School / Action,2022
Reality Quest,Lee Joo-Woon,Action / System,2021
Castle,Jung Yeon,Crime / Action,2019
Mercenary Enrollment,YC,Military / Action,2020
Nano Machine,Hanjung Wolya,Murim / Martial Arts,2020
Legend of the Northern Blade,Woo-Gak,Murim / Martial Arts,2019
Boss in School,Kim Ui-Gwon,School / Fighting,2017
Dokgo,Baek Seung-Hoon,School / Fighting,2015
Tong,Min,School / Fighting,2016
Shark,Unohana,Prison / Fighting,2021
Guard Pass,Kim Jin-Woo,Martial Arts,2021
Killer Pietro,Kim Jung-Hyun,Action,2023
Return of the Mad Demon,Yu Jin-Sung,Murim,2021
Absolute Sword Sense,Han Jung Wolya,Murim,2022
Heavenly Demon Instructor,Il-Hwang,Martial Arts,2021
Chronicles of Heavenly Demon,Il-Hwang,Murim,2019
